,key_power106.0vel700.0,depth_power106.0vel700.0,key_power130.0vel400.0,depth_power130.0vel400.0,key_power156.0vel400.0,depth_power156.0vel400.0,key_power156.0vel600.0,depth_power156.0vel600.0,key_power156.0vel900.0,depth_power156.0vel900.0,key_power161.0vel1200.0,depth_power161.0vel1200.0,key_power208.0vel400.0,depth_power208.0vel400.0,key_power209.0vel1000.0,depth_power209.0vel1000.0,key_power209.0vel1200.0,depth_power209.0vel1200.0,key_power209.0vel900.0,depth_power209.0vel900.0,key_power229.0vel400.0,depth_power229.0vel400.0,key_power313.0vel1100.0,depth_power313.0vel1100.0,key_power313.0vel700.0,depth_power313.0vel700.0,key_power314.0vel1000.0,depth_power314.0vel1000.0,key_power363.0vel600.0,depth_power363.0vel600.0,key_power363.0vel700.0,depth_power363.0vel700.0,key_power365.0vel1000.0,depth_power365.0vel1000.0,key_power413.0vel1000.0,depth_power413.0vel1000.0,key_power416.0vel1100.0,depth_power416.0vel1100.0,key_power416.0vel600.0,depth_power416.0vel600.0,key_power416.0vel700.0,depth_power416.0vel700.0,key_power467.0vel1000.0,depth_power467.0vel1000.0,key_power467.0vel1200.0,depth_power467.0vel1200.0,key_power467.0vel700.0,depth_power467.0vel700.0,key_power468.0vel600.0,depth_power468.0vel600.0,key_power468.0vel900.0,depth_power468.0vel900.0,key_power519.0vel1200.0,depth_power519.0vel1200.0,key_power519.0vel700.0,depth_power519.0vel700.0,key_power520.0vel1000.0,depth_power520.0vel1000.0,key_power522.0vel1100.0,depth_power522.0vel1100.0
0,5,10,5,10,5,10,5,5,5,10,5,10,5,10,5,10,5,10,5,10,5,15,5,10,5,15,5,15,5,15,5,15,5,15,10,15,5,20,5,15,5,15,10,15,10,15,5,20,5,20,10,20,10,20,15,25,10,20,15,25
1,5,5,5,15,5,15,5,15,5,10,10,10,10,20,5,15,5,15,5,15,10,15,10,20,15,25,15,20,20,25,20,25,15,25,20,30,20,30,25,30,20,30,25,30,25,30,25,30,25,35,25,30,25,30,25,35,30,35,25,30
2,5,15,5,15,10,20,5,20,10,15,5,15,15,25,10,20,5,20,5,15,15,25,15,25,25,30,20,25,35,40,30,35,25,35,35,40,35,40,40,45,35,40,35,45,35,40,40,45,45,50,35,45,40,45,40,45,40,45,40,45
3,5,15,10,15,5,20,5,20,5,20,5,15,20,30,10,20,15,20,10,20,25,30,30,35,30,40,30,35,40,50,40,45,40,45,45,50,45,50,45,55,45,50,45,55,45,50,50,55,50,60,50,55,50,60,55,60,55,60,50,60
4,10,15,10,20,15,25,10,20,5,20,5,20,25,35,10,20,10,20,10,25,30,40,35,40,40,45,35,45,50,60,50,60,40,50,50,60,50,60,50,65,55,65,55,65,60,65,65,70,65,75,60,70,60,70,65,70,70,70,65,70
5,5,15,10,25,20,30,10,25,5,20,5,15,35,40,15,30,10,25,20,30,40,45,45,50,50,60,40,50,65,70,60,70,55,65,65,70,60,70,75,85,70,75,70,75,70,75,75,85,80,85,75,80,75,80,85,90,80,85,85,90
6,5,15,10,25,20,30,10,25,5,20,5,20,40,50,15,30,10,25,20,30,45,55,45,55,55,65,45,55,75,80,70,80,60,70,75,80,70,75,75,85,80,85,80,85,80,85,90,95,95,100,90,95,90,95,100,100,90,95,95,100
7,5,20,10,25,25,35,10,30,10,20,5,20,45,55,20,30,10,25,20,35,45,60,50,60,70,75,55,65,80,90,75,85,75,75,85,90,85,90,90,95,90,100,95,105,75,90,105,110,100,110,95,100,105,110,115,120,100,110,100,105
8,5,15,15,30,25,35,15,30,5,25,5,20,55,60,20,35,15,30,25,40,60,70,60,65,75,80,60,70,90,95,85,90,75,80,95,100,80,90,100,110,105,110,100,105,90,100,115,120,105,115,100,110,115,120,125,130,115,120,100,115
9,5,20,15,30,35,45,15,30,5,20,5,20,50,65,25,35,10,30,20,40,60,70,60,70,75,80,65,75,90,105,85,95,80,85,95,105,95,100,100,105,105,115,105,110,100,110,120,130,125,135,115,125,120,125,130,135,115,125,130,135
10,5,15,15,30,30,45,20,35,5,25,5,20,65,70,25,40,15,30,30,40,70,75,70,75,85,95,75,80,110,115,100,110,85,95,105,110,100,105,120,125,115,125,95,125,110,115,125,130,130,135,110,125,120,125,140,145,120,130,115,130
11,5,20,15,30,40,50,20,35,5,20,5,20,60,70,30,45,15,30,40,50,70,80,65,75,90,100,75,80,115,120,100,110,95,100,95,115,105,110,115,125,125,130,105,130,115,120,140,145,145,150,120,130,130,140,150,160,110,135,130,140
12,5,15,20,35,40,50,20,35,5,25,5,20,65,75,25,40,20,35,25,45,75,90,70,80,100,105,75,85,120,125,110,115,95,105,115,125,105,120,135,145,130,140,130,140,110,130,140,155,135,150,130,140,135,145,135,160,145,150,145,150
13,5,20,20,35,40,60,25,40,5,25,5,20,70,80,30,40,20,35,35,50,80,90,75,80,110,110,75,90,120,130,125,130,100,115,120,125,100,120,135,145,125,140,120,135,110,135,145,155,160,165,120,150,145,150,145,170,145,155,145,155
14,5,15,20,35,45,60,25,40,5,25,5,20,75,80,30,45,20,40,40,55,85,95,80,85,115,115,80,95,130,140,110,130,105,115,105,130,115,125,135,155,135,145,135,155,125,135,160,170,160,170,150,155,150,160,170,175,150,165,150,160
15,5,20,20,35,45,60,30,45,5,25,5,20,75,85,35,45,25,40,45,55,85,95,70,90,100,120,80,95,140,145,130,135,105,115,115,135,125,135,125,160,145,155,145,155,125,140,170,175,170,185,145,155,145,160,165,180,170,175,145,165
16,5,15,25,40,50,60,30,45,5,25,5,20,75,95,35,50,20,40,40,55,95,100,85,90,115,120,85,100,140,145,135,140,115,125,130,140,120,140,150,165,155,160,125,160,135,140,180,180,155,180,155,160,130,155,180,190,175,180,170,175
17,5,20,30,45,55,70,30,45,5,25,5,20,85,95,35,50,20,40,45,60,100,105,80,90,110,120,90,105,115,150,140,145,100,125,130,145,130,140,145,170,150,170,150,160,130,145,180,185,170,190,165,170,155,165,185,200,165,175,165,175
18,10,20,25,40,55,70,25,45,5,25,5,20,80,95,35,50,25,40,45,60,105,110,80,100,130,135,80,105,160,160,105,150,115,125,135,145,125,145,150,175,160,170,160,170,150,150,185,190,180,195,165,180,155,170,205,210,155,185,160,175
19,5,20,30,45,60,70,40,55,5,25,5,20,95,100,35,50,25,45,45,65,105,110,85,100,110,140,95,105,155,165,135,150,120,130,135,150,125,140,180,185,160,170,170,175,115,155,190,200,185,200,170,180,120,175,205,215,185,190,160,180
20,5,20,30,50,55,70,35,50,5,25,5,20,85,100,40,55,25,40,45,65,100,115,75,100,105,140,90,105,165,170,140,155,120,135,130,150,120,150,180,190,175,180,160,175,145,150,185,200,195,200,175,185,160,175,215,220,180,195,175,185
21,5,20,35,50,60,70,35,50,5,25,5,20,95,105,35,55,25,45,55,65,95,120,75,95,130,140,90,105,140,170,150,160,125,135,145,155,145,150,180,190,160,180,150,175,140,155,180,205,210,215,165,185,165,175,220,230,185,195,185,190
22,5,20,35,50,65,75,45,55,5,25,5,20,100,110,40,60,25,45,50,65,115,125,95,105,125,140,100,110,175,180,150,160,100,140,145,160,135,150,180,190,185,190,180,185,125,160,200,210,180,220,175,190,165,180,220,230,145,200,180,190
23,5,20,40,55,75,80,35,55,10,25,5,20,105,110,40,60,30,50,50,70,110,120,90,100,130,150,100,115,165,175,160,170,125,135,155,165,145,155,185,195,180,190,155,175,125,160,205,210,210,220,160,195,145,180,215,230,165,190,150,195
24,5,20,40,55,70,80,45,55,5,25,5,20,120,125,40,60,25,45,50,65,80,130,90,105,110,150,100,115,155,175,160,175,130,145,155,165,145,160,180,205,145,200,155,190,135,165,205,215,185,225,175,195,165,175,225,235,135,200,185,195
25,5,20,40,60,65,80,45,60,5,25,5,20,110,120,40,60,20,50,55,70,125,130,90,105,105,150,95,110,115,190,175,185,125,145,145,170,135,160,185,205,190,200,165,190,135,160,205,215,225,230,165,190,160,180,230,240,180,200,185,195
26,5,20,40,60,75,85,45,60,5,25,5,20,85,125,45,60,25,45,50,70,105,135,80,105,125,145,90,115,165,195,160,170,120,145,110,170,125,160,195,205,190,200,185,195,145,160,210,215,220,230,170,195,165,180,230,240,180,200,165,195
27,5,20,40,60,70,85,50,65,10,30,5,20,85,120,40,60,30,45,60,70,105,135,80,105,140,155,100,120,180,195,160,180,105,145,155,165,140,160,180,205,185,205,175,185,140,165,205,225,215,230,180,200,170,180,235,245,200,205,165,195
28,5,20,50,60,75,85,45,65,5,25,5,20,115,120,45,65,35,50,55,75,105,135,85,105,140,160,115,125,155,195,175,185,135,145,155,165,140,160,195,210,150,205,135,195,150,165,225,230,215,240,185,200,175,185,245,255,200,220,190,195
29,5,20,50,65,75,90,45,65,5,25,5,20,120,125,45,65,25,45,50,75,130,135,95,110,115,160,105,125,180,195,165,180,130,150,150,170,110,165,200,215,175,200,140,195,140,170,205,225,235,240,190,200,130,185,240,250,215,220,180,195
