,key_power106.0vel700.0,depth_power106.0vel700.0,key_power130.0vel400.0,depth_power130.0vel400.0,key_power156.0vel400.0,depth_power156.0vel400.0,key_power156.0vel600.0,depth_power156.0vel600.0,key_power156.0vel900.0,depth_power156.0vel900.0,key_power161.0vel1200.0,depth_power161.0vel1200.0,key_power208.0vel400.0,depth_power208.0vel400.0,key_power209.0vel1000.0,depth_power209.0vel1000.0,key_power209.0vel1200.0,depth_power209.0vel1200.0,key_power209.0vel900.0,depth_power209.0vel900.0,key_power229.0vel400.0,depth_power229.0vel400.0,key_power313.0vel1100.0,depth_power313.0vel1100.0,key_power313.0vel700.0,depth_power313.0vel700.0,key_power314.0vel1000.0,depth_power314.0vel1000.0,key_power363.0vel600.0,depth_power363.0vel600.0,key_power363.0vel700.0,depth_power363.0vel700.0,key_power365.0vel1000.0,depth_power365.0vel1000.0,key_power413.0vel1000.0,depth_power413.0vel1000.0,key_power416.0vel1100.0,depth_power416.0vel1100.0,key_power416.0vel600.0,depth_power416.0vel600.0,key_power416.0vel700.0,depth_power416.0vel700.0,key_power467.0vel1000.0,depth_power467.0vel1000.0,key_power467.0vel1200.0,depth_power467.0vel1200.0,key_power467.0vel700.0,depth_power467.0vel700.0,key_power468.0vel600.0,depth_power468.0vel600.0,key_power468.0vel900.0,depth_power468.0vel900.0,key_power519.0vel1200.0,depth_power519.0vel1200.0,key_power519.0vel700.0,depth_power519.0vel700.0,key_power520.0vel1000.0,depth_power520.0vel1000.0,key_power522.0vel1100.0,depth_power522.0vel1100.0
0,5,5,5,10,5,10,5,10,5,5,5,5,10,10,5,10,5,10,5,10,5,15,5,15,5,15,5,15,5,15,5,15,5,15,5,15,5,15,5,20,5,20,10,20,5,20,5,20,5,20,5,20,5,20,5,20,5,20,5,20
1,5,10,5,10,5,15,5,15,10,10,5,10,5,20,5,15,5,15,5,15,5,20,5,20,10,20,5,20,20,30,20,30,10,25,20,30,20,30,25,30,25,30,25,35,25,30,25,35,25,35,25,35,25,35,30,40,25,35,25,35
2,5,10,5,15,5,20,5,15,5,15,5,15,10,25,5,20,5,15,5,20,15,25,20,30,25,35,20,30,30,40,30,40,25,35,30,40,30,40,35,45,35,45,35,45,35,45,40,45,40,50,35,45,40,50,40,50,40,50,40,50
3,5,15,5,20,5,20,5,20,5,20,5,15,20,30,5,20,5,20,10,25,25,35,25,35,30,45,30,40,40,50,40,50,35,45,40,50,40,50,50,55,45,55,45,55,45,55,50,60,50,60,45,60,50,60,55,65,55,65,50,60
4,5,15,5,20,10,25,5,20,5,20,5,15,25,40,5,25,5,20,15,25,30,45,30,45,40,50,35,45,50,65,50,60,45,55,50,60,50,60,60,65,60,70,60,65,55,65,65,75,65,75,65,70,65,70,70,75,65,70,65,70
5,5,15,5,25,20,30,10,25,5,20,5,20,35,45,10,25,10,25,15,30,40,50,40,50,50,60,40,50,65,75,60,70,50,65,65,70,60,70,85,90,75,85,70,85,70,80,80,90,85,90,75,80,75,85,90,95,80,90,75,85
6,5,15,10,25,20,30,10,25,5,25,5,20,40,50,15,30,10,25,20,30,45,55,45,60,60,70,45,60,80,85,70,80,60,70,70,80,70,80,80,90,80,90,85,90,80,90,90,95,95,100,90,95,90,105,95,100,90,100,95,105
7,5,15,10,25,25,35,10,30,5,25,5,20,45,55,15,30,10,25,20,35,50,65,50,65,65,75,55,70,80,90,80,90,65,80,90,100,85,95,100,105,90,100,90,100,75,85,100,115,105,115,95,105,100,105,110,120,100,110,95,110
8,5,20,15,30,25,40,10,30,5,25,5,20,50,60,20,35,10,30,25,40,60,70,55,65,75,85,55,70,90,100,85,95,70,85,85,100,80,90,95,110,100,110,95,105,85,100,105,120,115,120,100,110,105,115,120,130,110,120,105,115
9,5,20,15,30,30,45,15,30,5,25,5,20,55,65,20,35,10,30,25,40,65,75,60,70,80,90,70,80,90,110,90,105,80,90,95,105,90,100,110,120,105,120,105,110,100,110,115,125,125,135,110,120,110,125,125,140,115,125,110,125
10,5,20,10,30,30,45,15,35,5,25,5,20,60,70,20,40,10,30,25,45,70,80,65,80,85,100,70,85,105,115,95,110,85,100,100,110,90,110,130,135,110,125,105,120,105,115,120,135,130,140,115,130,120,125,135,150,120,135,120,135
11,5,20,15,35,30,45,20,35,5,25,5,20,65,75,25,45,15,35,40,50,70,85,65,75,90,105,75,90,110,120,105,120,90,105,100,115,100,110,120,130,120,135,115,130,110,125,135,145,140,150,120,135,125,140,145,160,125,140,130,145
12,5,20,15,35,35,50,20,40,5,25,5,20,65,80,25,45,15,35,55,55,80,95,65,80,95,110,75,90,115,125,110,125,95,110,110,120,105,120,145,145,125,140,125,140,115,130,145,150,140,155,125,145,130,145,145,160,140,155,140,150
13,5,20,15,35,40,55,25,40,5,30,5,20,70,85,25,45,15,35,40,50,85,95,70,85,100,115,80,95,130,140,120,130,100,115,110,130,105,125,135,145,130,145,125,140,120,135,145,155,155,165,135,150,135,155,160,170,145,155,145,155
14,5,20,20,40,45,65,20,40,5,25,5,15,70,85,25,45,20,40,35,50,85,100,75,90,100,115,80,100,130,145,120,135,100,115,115,135,115,130,125,155,135,150,135,155,125,140,160,165,160,170,145,160,140,160,160,175,150,165,145,160
15,5,20,20,40,45,60,25,45,5,25,5,20,75,90,30,50,20,40,40,55,85,105,75,95,105,115,85,100,130,150,125,140,105,120,120,135,125,135,135,160,140,155,140,155,130,145,170,180,170,180,145,160,140,160,170,185,160,170,155,170
16,10,20,25,45,50,65,25,45,5,25,5,20,85,95,30,50,20,40,40,60,95,110,75,95,105,125,90,105,140,155,125,145,110,125,130,145,125,140,145,165,150,165,140,160,130,145,165,180,170,185,145,165,135,165,180,190,165,180,160,175
17,10,20,30,50,55,70,30,45,5,30,5,15,85,100,30,50,20,40,40,60,100,115,80,95,110,125,90,110,135,155,135,150,110,125,130,150,125,145,140,170,160,175,145,165,130,150,175,185,180,190,160,175,155,170,190,195,160,180,160,175
18,5,20,25,45,55,70,30,50,5,25,5,15,80,100,30,50,20,40,40,60,100,115,85,100,120,135,90,110,140,160,135,150,110,130,130,150,125,145,150,175,160,175,155,170,135,155,180,190,180,195,165,180,155,175,200,205,170,185,160,175
19,5,20,30,50,60,75,35,55,5,25,5,20,90,105,35,55,20,40,45,65,95,115,85,100,125,140,95,110,150,165,140,155,115,135,135,155,120,145,170,185,160,175,160,175,135,155,180,195,190,200,165,185,150,175,200,210,175,190,165,180
20,5,20,30,50,55,70,30,50,5,25,5,15,85,110,35,55,20,45,45,65,100,120,85,100,120,145,90,110,160,175,145,160,120,140,130,150,125,150,170,185,170,180,155,180,140,155,180,200,195,210,165,185,155,175,210,215,175,190,165,180
21,5,20,30,50,60,75,30,50,5,25,5,15,95,115,35,55,20,45,45,65,105,125,80,100,130,150,90,110,155,170,145,165,125,140,140,155,135,155,170,190,165,185,155,180,140,160,180,205,200,210,170,185,150,175,210,220,175,195,170,190
22,5,20,35,55,65,80,40,60,5,30,5,20,100,120,35,55,25,45,50,70,110,125,90,105,130,145,95,115,160,175,145,160,120,140,145,165,140,160,170,190,180,190,170,185,125,160,195,210,195,215,170,190,160,180,220,225,180,200,175,190
23,5,15,35,55,65,80,40,60,5,25,5,20,100,120,40,60,25,45,45,70,110,125,85,105,135,155,100,120,160,180,160,170,120,140,145,165,145,160,175,200,180,195,160,180,120,160,200,210,210,220,170,195,155,180,210,225,175,195,175,190
24,5,20,35,55,65,85,45,60,5,25,5,15,110,130,40,60,25,45,50,70,115,130,85,105,135,155,95,115,155,175,165,175,120,145,145,165,145,165,180,200,180,195,165,185,140,165,200,215,195,220,170,195,155,180,225,230,175,200,175,195
25,5,20,40,60,65,85,40,60,5,25,5,20,110,125,40,60,25,45,50,70,110,130,85,105,135,155,95,115,175,185,165,175,120,145,150,170,135,160,180,205,180,200,165,185,145,170,195,220,215,230,165,190,150,180,225,230,185,205,175,195
26,5,20,45,65,70,85,40,65,5,25,5,20,105,125,40,60,25,45,55,75,115,135,90,105,135,155,95,115,185,195,160,175,120,145,140,165,140,160,190,210,180,200,175,195,135,170,195,220,230,230,170,195,155,180,225,235,180,205,170,190
27,5,20,45,65,75,90,50,65,5,25,5,15,100,125,40,60,25,45,55,75,115,135,85,105,140,155,100,120,175,195,165,180,125,145,140,170,140,165,190,205,190,205,170,190,145,165,200,225,210,230,180,200,165,185,235,245,190,210,165,195
28,5,20,45,65,75,95,45,70,5,25,5,20,115,130,40,60,25,45,55,75,110,140,90,110,145,160,100,120,165,190,170,180,125,150,145,170,135,165,195,210,185,200,170,195,145,170,215,230,220,240,180,200,165,190,245,245,200,215,180,200
29,5,15,50,70,70,95,45,70,5,25,5,20,120,135,45,65,25,45,60,80,125,145,90,110,135,160,100,125,175,195,165,185,125,145,145,170,140,165,205,220,185,205,150,190,140,170,200,225,220,240,185,205,155,185,235,245,200,215,175,200
30,5,20,45,70,70,90,50,70,5,25,5,15,115,135,45,65,25,50,60,80,130,145,85,110,140,160,100,125,190,200,170,185,130,150,140,165,140,160,205,220,185,205,150,190,145,170,200,225,225,240,185,205,160,185,240,250,190,210,180,200
31,5,20,50,70,75,95,50,70,5,25,5,20,110,130,45,65,25,50,55,75,125,145,90,110,140,160,100,125,170,195,165,190,125,150,150,170,140,160,205,225,190,210,150,195,140,165,210,235,235,245,180,205,160,185,230,250,195,215,180,205
32,5,20,55,75,75,100,50,70,5,25,5,20,110,135,45,65,25,50,55,80,130,150,90,110,145,165,100,125,185,200,165,185,125,150,150,175,140,165,195,220,195,215,165,190,150,170,205,230,240,240,185,205,150,185,240,255,190,215,180,205
33,5,20,50,75,75,100,50,75,5,25,5,20,110,135,45,65,25,50,55,80,120,145,90,110,145,170,100,125,180,200,180,190,125,150,150,175,130,160,190,220,200,215,175,200,150,175,210,235,235,240,185,210,160,190,240,255,175,210,175,200
34,5,20,50,75,85,105,50,75,5,25,5,15,115,140,45,65,30,50,55,80,130,155,90,110,150,170,100,125,190,205,165,185,120,150,145,175,135,160,215,230,205,220,175,205,150,170,205,235,235,250,180,210,155,185,250,265,190,215,170,200
35,5,15,50,75,85,105,50,75,5,25,5,20,115,140,45,70,30,50,55,80,125,150,90,110,150,170,105,130,190,205,175,195,125,150,150,175,135,165,215,225,190,215,180,210,145,170,220,240,245,250,180,205,155,185,235,265,180,215,175,200
36,5,20,50,75,80,100,55,75,5,25,5,20,110,140,45,70,30,50,55,80,130,155,90,110,145,170,100,120,190,210,180,195,125,150,155,180,140,165,215,230,180,215,190,205,145,175,215,240,255,255,185,210,165,190,245,265,205,225,180,200
37,5,20,55,75,80,100,55,75,5,25,5,15,110,140,50,70,30,50,55,80,130,160,90,115,135,170,100,125,195,210,180,200,125,155,145,175,135,165,215,235,180,215,190,210,150,170,225,245,250,260,185,210,160,185,250,270,205,225,180,200
38,5,20,55,80,85,105,55,75,5,25,5,20,120,145,45,70,30,50,60,80,135,155,90,115,150,175,105,125,205,215,190,205,130,150,155,180,135,165,215,235,200,225,180,210,150,175,230,250,240,260,185,210,155,185,255,270,205,225,180,205
39,5,20,60,80,85,110,50,75,5,25,5,20,125,145,50,70,30,55,60,85,140,160,90,115,150,175,105,130,205,215,200,205,125,150,145,175,135,165,220,240,210,220,160,205,145,175,230,245,240,260,185,215,165,190,255,270,200,225,175,205
40,5,15,55,75,75,100,55,80,5,25,5,15,110,140,50,70,30,55,60,85,145,165,90,115,145,175,105,125,195,215,185,200,125,150,140,175,130,165,240,245,210,225,160,205,145,170,230,245,265,265,190,215,155,190,245,275,205,225,175,205
41,5,15,55,80,85,105,55,80,5,25,5,20,105,145,50,75,30,55,60,85,155,170,90,120,150,180,100,125,200,215,185,205,125,150,140,175,140,165,235,245,210,230,165,205,145,170,215,245,260,265,185,215,160,185,250,280,205,225,180,205
42,5,20,55,80,85,110,55,80,5,30,5,20,120,150,50,75,30,55,60,85,140,165,90,115,140,175,105,125,200,215,185,205,130,155,150,180,135,165,215,235,205,225,160,200,145,175,220,250,260,270,180,215,160,190,250,280,210,225,180,205
43,5,20,55,80,85,110,55,80,5,25,5,20,115,150,50,75,30,55,60,85,130,165,100,115,150,180,105,125,205,220,175,200,130,155,155,180,140,165,220,245,210,225,165,200,150,175,235,255,260,270,190,215,165,190,250,280,210,225,180,205
44,5,20,55,80,80,105,55,80,5,30,5,20,115,155,50,75,30,55,60,85,140,170,95,115,155,180,105,125,210,220,190,205,125,155,150,180,145,165,220,245,210,230,170,205,150,175,235,255,245,270,175,215,155,190,250,280,200,225,155,205
45,5,20,60,85,80,105,60,80,5,30,5,20,115,150,50,75,30,55,60,85,140,170,90,115,155,180,105,130,215,225,190,205,125,155,150,180,140,165,225,250,210,230,160,200,145,175,235,250,245,270,190,215,160,190,250,280,210,225,165,205
46,5,15,60,85,90,110,55,85,5,30,5,20,105,150,50,75,30,55,60,85,145,175,90,115,150,180,105,130,215,220,180,205,125,155,155,180,135,165,235,255,205,225,160,200,140,175,230,250,270,275,200,220,165,190,260,280,210,225,175,205
47,5,15,60,85,90,110,60,85,5,30,5,15,125,155,50,75,30,55,65,85,155,175,95,115,140,175,105,130,210,220,185,205,130,155,150,180,140,165,250,250,205,230,170,200,145,175,230,255,260,280,170,215,160,190,260,285,205,225,170,205
48,5,20,65,90,85,110,60,85,5,30,5,20,125,155,50,75,30,55,60,85,150,175,95,120,135,175,105,125,200,225,180,205,125,155,145,180,135,165,245,250,210,230,165,200,145,175,230,255,265,280,185,215,160,190,260,285,205,225,180,210
49,5,20,65,90,85,110,60,85,5,30,5,20,125,160,50,75,30,55,60,90,150,175,95,115,150,180,105,130,200,225,180,205,130,155,150,180,140,170,240,255,210,230,165,200,145,175,250,265,260,280,195,220,165,190,250,285,210,225,175,210
50,5,20,60,85,85,110,60,85,5,30,5,15,110,150,50,75,30,55,60,90,155,175,95,115,155,180,105,130,210,230,195,210,130,155,150,180,145,170,240,250,205,230,155,200,140,175,255,270,255,280,195,220,160,190,260,285,200,220,180,210
51,5,20,60,90,95,115,60,85,5,30,5,20,115,155,50,80,30,55,60,90,160,180,95,120,160,180,105,130,205,225,190,210,125,155,155,180,140,170,240,250,205,230,170,200,145,175,260,270,260,280,190,215,160,190,265,285,200,220,180,210
52,5,15,60,90,95,115,65,90,5,30,5,20,125,160,50,75,30,55,65,90,155,180,95,115,150,180,105,130,220,230,160,205,125,155,145,180,145,170,220,250,215,230,170,200,145,175,240,265,265,280,190,220,160,190,265,285,195,220,165,205
53,5,20,65,90,85,115,60,90,5,30,5,20,125,160,50,80,30,55,65,90,150,175,95,115,160,185,105,130,220,230,165,205,130,155,150,180,145,170,210,255,215,230,165,200,155,175,230,265,275,280,180,215,170,190,265,285,210,225,160,210
