,key_power106.0vel700.0,depth_power106.0vel700.0,key_power130.0vel400.0,depth_power130.0vel400.0,key_power156.0vel400.0,depth_power156.0vel400.0,key_power156.0vel600.0,depth_power156.0vel600.0,key_power156.0vel900.0,depth_power156.0vel900.0,key_power161.0vel1200.0,depth_power161.0vel1200.0,key_power208.0vel400.0,depth_power208.0vel400.0,key_power209.0vel1000.0,depth_power209.0vel1000.0,key_power209.0vel1200.0,depth_power209.0vel1200.0,key_power209.0vel900.0,depth_power209.0vel900.0,key_power229.0vel400.0,depth_power229.0vel400.0,key_power313.0vel1100.0,depth_power313.0vel1100.0,key_power313.0vel700.0,depth_power313.0vel700.0,key_power314.0vel1000.0,depth_power314.0vel1000.0,key_power363.0vel600.0,depth_power363.0vel600.0,key_power363.0vel700.0,depth_power363.0vel700.0,key_power365.0vel1000.0,depth_power365.0vel1000.0,key_power413.0vel1000.0,depth_power413.0vel1000.0,key_power416.0vel1100.0,depth_power416.0vel1100.0,key_power416.0vel600.0,depth_power416.0vel600.0,key_power416.0vel700.0,depth_power416.0vel700.0,key_power467.0vel1000.0,depth_power467.0vel1000.0,key_power467.0vel1200.0,depth_power467.0vel1200.0,key_power467.0vel700.0,depth_power467.0vel700.0,key_power468.0vel600.0,depth_power468.0vel600.0,key_power468.0vel900.0,depth_power468.0vel900.0,key_power519.0vel1200.0,depth_power519.0vel1200.0,key_power519.0vel700.0,depth_power519.0vel700.0,key_power520.0vel1000.0,depth_power520.0vel1000.0,key_power522.0vel1100.0,depth_power522.0vel1100.0
0,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,15,5,15,10,15,5,15,10,15,10,15,10,15,10,15,10,15,10,15,10,15,10,15,10,15,15,15,10,15,15,15,15,15,15,20,15,15,15,15
1,5,10,5,15,5,15,5,15,5,15,5,10,10,20,5,15,5,15,5,15,15,20,15,20,15,25,15,20,20,25,20,25,15,25,20,25,20,25,25,30,25,30,25,30,20,30,25,30,25,30,25,30,25,30,30,35,25,30,25,30
2,5,10,5,15,5,20,5,15,5,15,5,15,15,25,5,20,5,20,10,20,20,30,20,30,25,35,20,30,35,40,30,35,25,35,30,40,30,40,35,40,35,40,35,40,35,40,35,45,40,45,40,45,40,45,40,45,40,45,40,45
3,5,15,5,20,10,20,5,20,5,15,5,15,20,30,10,20,5,20,10,25,25,35,25,35,35,45,30,40,40,50,40,50,40,45,45,50,40,50,50,55,45,50,45,55,45,55,50,60,50,60,50,55,50,60,50,65,55,60,50,60
4,5,15,5,20,10,25,5,20,5,20,5,15,30,35,10,25,5,20,15,25,35,40,35,45,45,50,35,45,50,60,50,60,45,55,55,60,55,60,65,65,55,65,60,65,60,65,65,70,60,70,65,70,65,70,70,75,65,75,65,70
5,5,15,5,20,15,30,10,25,5,20,5,15,30,45,15,25,10,25,15,30,40,50,40,50,50,60,45,50,60,70,60,70,55,60,65,70,65,70,70,75,70,75,70,80,70,75,75,80,80,85,70,80,75,85,85,90,80,85,80,85
6,5,15,10,25,20,30,10,25,5,20,5,20,40,50,15,30,10,25,20,35,45,55,45,55,60,65,50,60,75,80,75,80,65,70,75,80,70,80,75,90,85,90,85,90,80,85,90,95,95,100,90,95,90,95,95,105,95,100,90,95
7,5,15,10,25,25,35,10,25,5,20,5,20,45,55,15,30,10,25,25,35,50,60,55,60,70,75,55,65,75,90,80,90,75,80,85,90,80,90,90,100,95,100,85,100,90,95,105,110,105,110,100,105,105,105,115,120,105,110,105,110
8,5,15,10,25,25,40,15,30,5,20,5,20,50,60,20,35,15,30,25,40,55,70,55,65,75,80,60,70,95,100,80,95,70,85,95,100,80,95,105,110,105,110,105,110,100,105,115,120,120,125,100,115,115,115,125,130,115,120,115,120
9,5,15,10,30,30,40,15,30,5,25,5,20,55,65,20,35,15,30,25,40,65,75,60,70,75,90,60,75,90,105,100,105,75,90,100,105,90,100,105,115,110,115,115,120,100,115,110,125,125,135,110,120,115,125,120,140,130,135,120,130
